#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;nothing_pn;nothing_ns;shuff1_pn;shuff1_ns;1/C_pn;1/C_ns;1/R_pn;1/R_ns;R/C_pn;R/C_ns;ic_shuff_pn;ic_shuff_ns;ic_dyn_1/C_pn;ic_dyn_1/C_ns;ic_dyn_1/R_pn;ic_dyn_1/R_ns;ic_dyn_R/C_pn;ic_dyn_R/C_ns;bc_shuff_pn;bc_shuff_ns;bc_dyn_1/C_pn;bc_dyn_1/C_ns;bc_dyn_1/R_pn;bc_dyn_1/R_ns;bc_dyn_R/C_pn;bc_dyn_R/C_ns;bb_nothing_pn;bb_nothing_ns;bb_shuff1_pn;bb_shuff1_ns;bb_shuff_pn;bb_shuff_ns;bb_st_1/C_pn;bb_st_1/C_ns;bb_dyn_1/C_pn;bb_dyn_1/C_ns;bb_st_1/R_pn;bb_st_1/R_ns;bb_dyn_1/R_pn;bb_dyn_1/R_ns;bb_st_R/C_pn;bb_st_R/C_ns;bb_dyn_R/C_pn;bb_dyn_R/C_ns;sbb_nothing_pn;sbb_nothing_ns;sbb_shuff1_pn;sbb_shuff1_ns;sbb_shuff_pn;sbb_shuff_ns;sbb_st_1/C_pn;sbb_st_1/C_ns;sbb_dyn_1/C_pn;sbb_dyn_1/C_ns;sbb_st_1/R_pn;sbb_st_1/R_ns;sbb_dyn_1/R_pn;sbb_dyn_1/R_ns;sbb_st_R/C_pn;sbb_st_R/C_ns;sbb_dyn_R/C_pn;sbb_dyn_R/C_ns;
10;2;36;0.857707545408;0.876207190688;0.951641773418;6;0.953219930879;7;0.984525686899;87;0.986934719051;87;0.992612455275;88;0.92483426371;0;0.981041087021;81;0.981646321374;77;0.98739773315;85;0.948455138372;2;0.989711335902;89;0.990867837717;87;0.989326827831;89;0.933920542261;1;0.932354441072;3;0.925423501552;1;0.95741353784;40;0.956026685061;43;0.953487419037;38;0.96258306654;47;0.959775135294;48;0.960985649259;43;0.938410222154;0;0.937549534714;2;0.932544781273;1;0.982034659945;71;0.980541603281;68;0.985537304245;73;0.978143152236;66;0.98530346776;79;0.986931631121;80;
10;5;36;0.850978164273;0.894443299823;0.818840342046;0;0.818428598139;0;0.858166755233;1;0.857748323359;1;0.847904130881;1;0.8011186188;0;0.857541577956;1;0.846406299052;2;0.838277865047;1;0.813055640215;0;0.854895478;2;0.865619244553;2;0.847380882524;3;0.799596972395;0;0.803200307293;0;0.807343295942;0;0.82546322605;0;0.837992574196;2;0.836536250507;0;0.835553805235;0;0.832758562076;0;0.830259506257;0;0.799055659916;0;0.802393314896;0;0.80158981826;0;0.850898744553;0;0.847302506162;0;0.850340887775;1;0.84568486953;0;0.839031100855;0;0.835830867602;0;
10;10;36;0.846327742877;0.905621349636;0.745982594547;0;0.743520340856;0;0.915630925446;21;0.91359114438;20;0.913752903436;22;0.733141587735;0;0.931465151236;33;0.928550117472;29;0.926387874762;27;0.742574298906;0;0.911867480187;22;0.909403839148;20;0.913812670174;22;0.72755816945;0;0.741129421211;0;0.735642321333;0;0.890309689376;15;0.900939985149;20;0.890972141204;14;0.895978252723;20;0.893725528911;14;0.892192565862;13;0.727038337062;0;0.732910612136;0;0.728327244451;0;0.889755197877;15;0.897212757025;17;0.888659849694;13;0.90411917658;20;0.896679051719;15;0.893924334972;10;
30;2;107;0.858086775183;0.869512104183;0.980386893723;10;0.97970363158;9;1.0;100;1.0;100;1.0;100;0.947850233547;0;0.999813084112;99;0.999568965517;99;1.0;100;0.970370529142;0;1.0;100;1.0;100;1.0;100;0.945572663485;0;0.944136258925;0;0.943231954175;0;0.957340178219;13;0.960284212254;24;0.955779551538;23;0.954570792647;22;0.954974074664;21;0.952459922101;13;0.965645569232;0;0.965517996967;1;0.954244567409;0;0.999344014708;97;0.997786191974;93;0.999052061495;97;0.996463239204;94;0.999337928494;94;0.998817044508;96;
30;5;108;0.8510654006;0.876557732565;0.848517419405;0;0.849714918455;0;0.847309114762;0;0.848855535047;0;0.843829455791;0;0.824809217682;0;0.837169972232;0;0.837010952366;0;0.834074018339;0;0.848849604078;0;0.835619899677;0;0.851931551627;0;0.832460418927;0;0.823376908426;0;0.815472529812;0;0.818413392003;0;0.828956219635;0;0.828672674093;0;0.828411308753;0;0.824554706675;0;0.828707869622;0;0.825569628279;0;0.828167218223;0;0.828240731995;0;0.824831558599;0;0.833553585425;0;0.838205020152;0;0.836033821119;0;0.839393689641;0;0.837691678208;0;0.83685103846;0;
30;10;109;0.845571558037;0.881327498514;0.738618740027;0;0.737816707976;0;0.84124957252;0;0.84076850286;0;0.837124207437;0;0.713452389556;0;0.847106419005;0;0.848501945224;0;0.840887226665;0;0.732614524858;0;0.840529041771;0;0.841637146803;0;0.836009978679;0;0.712882205884;0;0.712405255891;0;0.710249364046;0;0.807073115464;0;0.805342399889;0;0.809030910635;0;0.809124543378;0;0.799427055852;0;0.798817287585;0;0.708248106324;0;0.70847339063;0;0.704165256819;0;0.816042818344;0;0.818128972247;0;0.816295268338;0;0.814324172682;0;0.813946144558;0;0.80933918826;0;
100;2;357;0.857967598954;0.863588538347;0.996527340557;48;0.997238519261;57;1.0;100;1.0;100;1.0;100;0.957961623881;0;1.0;100;1.0;100;1.0;100;0.983041760805;0;1.0;100;1.0;100;1.0;100;0.953102806099;0;0.954138677619;0;0.95275047765;0;0.968071076237;9;0.971208303353;15;0.969750720727;14;0.968526059119;12;0.964973735299;12;0.972557505365;14;0.988066068737;0;0.986929001336;0;0.969172701125;0;1.0;100;1.0;100;1.0;100;1.0;100;1.0;100;1.0;100;
100;5;363;0.851188887501;0.865700244794;0.8870051043;0;0.887099369813;0;0.889164494584;0;0.887616714267;0;0.88933298574;0;0.849851550886;0;0.879245005471;0;0.875720345736;0;0.882385289151;0;0.88255223586;0;0.878279103378;0;0.890786379546;0;0.881571787414;0;0.848233302975;0;0.849204456248;0;0.846022525641;0;0.846658837857;0;0.847226706797;0;0.85322014207;0;0.849170662784;0;0.850287070891;0;0.84870382238;0;0.862424897024;0;0.859381640915;0;0.853291175947;0;0.871516059407;0;0.869501697136;0;0.871570249539;0;0.871177271904;0;0.873918147429;0;0.87378083745;0;
100;10;365;0.846786035348;0.866184431347;0.759068982876;0;0.759725861483;0;0.789297419807;0;0.78860800696;0;0.78990154144;0;0.726989496167;0;0.785043008796;0;0.783616315916;0;0.783124697167;0;0.752383854253;0;0.788775295265;0;0.789629130326;0;0.787799901317;0;0.729257997576;0;0.727632541565;0;0.725278954117;0;0.761643230774;0;0.761681221209;0;0.761782140013;0;0.764318047999;0;0.762250713587;0;0.76124309582;0;0.726714351624;0;0.726118577627;0;0.722052251855;0;0.772145238616;0;0.773909816305;0;0.772633252725;0;0.77257086595;0;0.774308239296;0;0.772655778963;0;
