#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;nothing_pn;nothing_ns;shuff1_pn;shuff1_ns;1/C_pn;1/C_ns;1/R_pn;1/R_ns;R/C_pn;R/C_ns;ic_shuff_pn;ic_shuff_ns;ic_dyn_1/C_pn;ic_dyn_1/C_ns;ic_dyn_1/R_pn;ic_dyn_1/R_ns;ic_dyn_R/C_pn;ic_dyn_R/C_ns;bc_shuff_pn;bc_shuff_ns;bc_dyn_1/C_pn;bc_dyn_1/C_ns;bc_dyn_1/R_pn;bc_dyn_1/R_ns;bc_dyn_R/C_pn;bc_dyn_R/C_ns;bb_nothing_pn;bb_nothing_ns;bb_shuff1_pn;bb_shuff1_ns;bb_shuff_pn;bb_shuff_ns;bb_st_1/C_pn;bb_st_1/C_ns;bb_dyn_1/C_pn;bb_dyn_1/C_ns;bb_st_1/R_pn;bb_st_1/R_ns;bb_dyn_1/R_pn;bb_dyn_1/R_ns;bb_st_R/C_pn;bb_st_R/C_ns;bb_dyn_R/C_pn;bb_dyn_R/C_ns;sbb_nothing_pn;sbb_nothing_ns;sbb_shuff1_pn;sbb_shuff1_ns;sbb_shuff_pn;sbb_shuff_ns;sbb_st_1/C_pn;sbb_st_1/C_ns;sbb_dyn_1/C_pn;sbb_dyn_1/C_ns;sbb_st_1/R_pn;sbb_st_1/R_ns;sbb_dyn_1/R_pn;sbb_dyn_1/R_ns;sbb_st_R/C_pn;sbb_st_R/C_ns;sbb_dyn_R/C_pn;sbb_dyn_R/C_ns;
10;2;27;0.882615470142;0.907517758119;0.927286188074;0;0.924405646817;1;0.975417151396;57;0.976251043862;59;0.977811863644;64;0.904234002193;0;0.988004880707;78;0.980771352691;66;0.977806065692;63;0.924102273876;0;0.977034081029;64;0.978338786017;62;0.975628297442;63;0.908394223586;0;0.901874202922;0;0.898956419662;0;0.959045792864;38;0.956094148289;33;0.955516836635;37;0.953871582201;31;0.955438849492;32;0.955582282258;27;0.917156417257;0;0.916889696286;1;0.901622952817;0;0.971972492903;51;0.973868507542;57;0.972158186075;54;0.96846733386;55;0.969874853541;50;0.966007920665;49;
10;5;28;0.866695405303;0.923570640529;0.809634664902;0;0.810198884801;0;0.89932655158;8;0.897576175331;6;0.896922233052;5;0.790399927095;0;0.914320283622;9;0.912216192438;11;0.908447055098;9;0.808193891963;0;0.895700433869;5;0.897725794352;5;0.893869293352;7;0.779033667295;0;0.788073025994;0;0.78359227385;0;0.883711045375;4;0.878445587749;7;0.882270940125;5;0.881380977902;8;0.876337310231;3;0.872219358768;3;0.784739298357;0;0.789052887894;0;0.783638460289;0;0.891420452915;8;0.894649421022;9;0.889416218854;9;0.894875926906;9;0.892432038236;9;0.887673928083;7;
10;10;28;0.863633631377;0.933442494011;0.776442923852;0;0.777437330709;0;0.976844679771;78;0.976513991941;78;0.976289886606;77;0.757507939055;0;0.983903622621;83;0.982222612472;81;0.982470882946;83;0.772216185493;0;0.980282408709;80;0.978650192205;80;0.977349912149;78;0.748326322763;0;0.749529220699;0;0.743179761871;0;0.970049106025;75;0.965806882608;71;0.968027942004;73;0.974857394573;77;0.967173117329;71;0.963862910809;70;0.734163361995;0;0.735766213947;0;0.748137599837;0;0.975118899804;77;0.974796148481;76;0.974811200479;77;0.974828577223;77;0.975898923101;78;0.972631727334;74;
30;2;82;0.882589932121;0.896999819844;0.963621315664;0;0.962087825658;0;0.999632306725;98;0.99972972973;99;1.0;100;0.927197477901;0;0.999124032671;96;0.998132612604;95;0.999324514991;98;0.947402717243;0;0.998606134224;98;0.998959300392;97;1.0;100;0.925676328813;0;0.926678688299;0;0.924412760523;0;0.984104208159;48;0.984612272263;43;0.982017206464;46;0.981796782484;43;0.982004412246;44;0.98040868651;38;0.948699229064;0;0.948706242545;0;0.934262576435;0;0.998166305679;96;0.996719683415;90;0.998324216398;95;0.997522125839;91;0.997874725238;95;0.998284956583;94;
30;5;84;0.868055863123;0.902341848705;0.842745869581;0;0.842878055903;0;0.885270302832;0;0.882529648391;0;0.883814540753;0;0.80810663616;0;0.888084806312;0;0.883952569943;0;0.885815027956;0;0.833137878334;0;0.880434142087;0;0.883361179211;0;0.879539584709;0;0.805779412802;0;0.809734304613;0;0.803646484325;0;0.864499193452;0;0.862843771146;0;0.864303797018;0;0.862147177679;0;0.860931470447;0;0.85929759392;0;0.812823782022;0;0.817266030526;0;0.806058400965;0;0.873453002452;0;0.873256014712;0;0.87311115077;0;0.868553772231;0;0.872259684725;0;0.869053938884;0;
30;10;84;0.862874912564;0.906445685772;0.761334985732;0;0.750640535788;0;0.947831755316;14;0.946914756828;14;0.947337598198;15;0.727809787884;0;0.96246545925;21;0.962848322137;22;0.960022661878;20;0.742844968277;0;0.948602679455;16;0.949331650896;18;0.948188620887;16;0.728747741883;0;0.722550672659;0;0.72037486319;0;0.924541299702;13;0.922249420626;11;0.925625459245;9;0.925090214342;12;0.920057544058;10;0.91660337431;6;0.715136776962;0;0.717363261262;0;0.703536693287;0;0.936404329149;9;0.939265364598;9;0.936196158171;10;0.938195353822;13;0.937271753436;11;0.936154954348;9;
100;2;273;0.882747947162;0.89024514361;0.989462415998;1;0.989040982903;3;1.0;100;1.0;100;1.0;100;0.941807967351;0;1.0;100;1.0;100;1.0;100;0.965853346243;0;1.0;100;1.0;100;1.0;100;0.940132304244;0;0.937711941489;0;0.938345785404;0;0.995409103385;57;0.993288260913;54;0.995011518756;58;0.995180789293;61;0.994566574018;59;0.995552468517;58;0.97502358991;0;0.975333660653;0;0.951080758231;0;1.0;100;1.0;100;1.0;100;1.0;100;1.0;100;1.0;100;
100;5;280;0.868027510335;0.887672972494;0.887538131681;0;0.888502746763;0;0.911616267883;0;0.912911709457;0;0.914627446219;0;0.835377013936;0;0.911740166736;0;0.910412523171;0;0.913060106874;0;0.865512911337;0;0.911661862249;0;0.913644776045;0;0.910516514028;0;0.839511932703;0;0.835657657085;0;0.834627876048;0;0.897209555083;0;0.896904068182;0;0.896970882386;0;0.897077076163;0;0.898468534669;0;0.897059603762;0;0.853961699246;0;0.853451136994;0;0.837807697433;0;0.905143165577;0;0.906015559199;0;0.905298635344;0;0.904380202954;0;0.905773390357;0;0.905284402939;0;
100;10;281;0.863159592164;0.887708163593;0.771439724591;0;0.7701293753;0;0.894884877253;0;0.895297491992;0;0.894724523152;0;0.730825474066;0;0.918053035153;0;0.916989637557;0;0.916333987969;0;0.747954987278;0;0.894575765763;0;0.894953971447;0;0.894414102097;0;0.730333228594;0;0.729265471375;0;0.729286268229;0;0.855414632127;0;0.854763744788;0;0.857189380072;0;0.85343229791;0;0.854827448477;0;0.853290166729;0;0.728685959901;0;0.728539158785;0;0.716391492402;0;0.876721521695;0;0.877461452157;0;0.877615855722;0;0.878437656927;0;0.875219866889;0;0.875025143035;0;
