#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;dp_pn;dp_ns;dp_normC_pn;dp_normC_ns;dp_normR_pn;dp_normR_ns;
10;2;36;0.857707545408;0.876207190688;0.997187080903;91;0.991107188088;88;0.961630904938;17;
10;5;36;0.850978164273;0.894443299823;0.905626996095;2;0.880276610767;2;0.894656074834;0;
10;10;36;0.846327742877;0.905621349636;0.93091353491;31;0.942947416755;31;0.919188357092;11;
30;2;107;0.858086775183;0.869512104183;1.0;100;1.0;100;0.982423818236;11;
30;5;108;0.8510654006;0.876557732565;0.93342322883;0;0.883568738629;0;0.914436557643;0;
30;10;109;0.845571558037;0.881327498514;0.859896336419;0;0.870072336787;0;0.871522683159;0;
100;2;357;0.857967598954;0.863588538347;1.0;100;1.0;100;0.996292752215;43;
100;5;363;0.851188887501;0.865700244794;0.996010123022;38;0.966621566572;14;0.938828219505;0;
100;10;365;0.846786035348;0.866184431347;0.840472477575;0;0.822917525909;0;0.861331210874;0;
