#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;dp_pn;dp_ns;dp_normC_pn;dp_normC_ns;dp_normR_pn;dp_normR_ns;
10;2;39;0.796295844528;0.81280806111;0.998980769231;96;0.989742338962;85;0.998743589744;95;
10;5;39;0.794191530117;0.828316453928;0.882859973161;0;0.801016907794;0;0.992967948718;76;
10;10;39;0.784571902649;0.829429554947;0.904488474304;11;0.847498626157;4;0.999487179487;98;
30;2;119;0.796122928845;0.805957917382;1.0;100;1.0;100;0.999916666667;99;
30;5;119;0.792456883402;0.811772425898;0.880562727782;0;0.796767950151;0;0.988062890977;22;
30;10;118;0.785367124498;0.810311560535;0.841350787621;0;0.763930257617;0;0.998726442286;87;
100;2;397;0.794138808276;0.798896264554;1.0;100;1.0;100;1.0;100;
100;5;397;0.791837881755;0.801485748967;0.926727650058;0;0.843814788906;0;0.991840448115;5;
100;10;394;0.786762163771;0.800750023888;0.789770250162;0;0.709483132906;0;0.997187973057;30;
