#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;dp_pn;dp_ns;dp_normC_pn;dp_normC_ns;dp_normR_pn;dp_normR_ns;
10;2;34;0.860938526321;0.885815892424;0.985031427611;69;0.958496798432;37;0.98380640378;57;
10;5;36;0.851988967774;0.904426885034;0.919830028374;5;0.891820596686;1;0.913455616059;0;
10;10;36;0.846554148739;0.909754644568;0.930975538972;28;0.930345054629;28;0.921890396976;9;
30;2;102;0.854536165179;0.870651500012;0.99182963342;51;0.965608091847;25;0.9885152709;20;
30;5;109;0.850601037039;0.880179686129;0.94180007953;1;0.909560093485;0;0.92157070108;0;
30;10;109;0.846074393041;0.885362213084;0.866931925734;0;0.868599765402;0;0.876528919351;0;
100;2;342;0.856600002326;0.865649282106;0.999584288643;90;0.994212306701;71;0.994936544207;10;
100;5;363;0.851206927932;0.869250936654;0.95633384985;0;0.915108070351;0;0.946220543853;0;
100;10;364;0.847118549493;0.868766057698;0.847609079335;0;0.826260492301;0;0.861852677882;0;
