#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;dp_pn;dp_ns;dp_normC_pn;dp_normC_ns;dp_normR_pn;dp_normR_ns;
10;2;36;0.855128178033;0.876177127084;0.997611954155;92;0.999487179487;99;0.972798016677;30;
10;5;36;0.849673995362;0.896312961533;0.947225611924;8;0.903443055817;4;0.92430315617;0;
10;10;36;0.845279397566;0.905211808536;0.856700007822;0;0.802816774262;0;0.872869920943;0;
30;2;108;0.857145124019;0.868720031298;1.0;100;1.0;100;0.99189962111;48;
30;5;109;0.851228964204;0.878289516685;0.988447197562;26;0.953606562107;21;0.956707370372;0;
30;10;109;0.846036329015;0.883581471125;0.883550022412;0;0.805751475205;0;0.901753780255;0;
100;2;358;0.857446524782;0.863770378062;1.0;100;1.0;100;0.999210084467;80;
100;5;363;0.849763693614;0.865085933326;0.997848978175;54;0.999917127072;99;0.984307371912;2;
100;10;364;0.845807289393;0.866731130061;0.943718643292;0;0.848830548767;0;0.927089115744;0;
