#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;dp_pn;dp_ns;dp_normC_pn;dp_normC_ns;dp_normR_pn;dp_normR_ns;
10;2;44;0.884806520795;0.902509062309;0.958276639228;40;0.914297265705;15;0.984716442389;44;
10;5;41;0.831895904095;0.866946082331;0.839987709038;0;0.771093753529;0;0.992341295419;74;
10;10;39;0.79508344298;0.841615594728;0.895187303143;11;0.842546546717;1;1.0;100;
30;2;133;0.884923307918;0.893893738545;0.995455213914;75;0.970225472385;41;0.995863984121;59;
30;5;125;0.832894160622;0.851636056583;0.846249961016;0;0.76372244778;0;0.983594527247;8;
30;10;119;0.794168964185;0.820672664487;0.832761735618;0;0.762253473391;0;0.998985007097;89;
100;2;446;0.885089436901;0.889591743406;1.0;100;0.998306024538;91;0.999889133727;96;
100;5;418;0.832111294363;0.842650559342;0.878964288242;0;0.804719132315;0;0.982204226036;1;
100;10;398;0.794182000002;0.808538244296;0.789524142448;0;0.709667601792;0;0.997060678054;28;
