#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;nothing_pn;nothing_ns;shuff1_pn;shuff1_ns;1/C_pn;1/C_ns;1/R_pn;1/R_ns;R/C_pn;R/C_ns;ic_shuff_pn;ic_shuff_ns;ic_dyn_1/C_pn;ic_dyn_1/C_ns;ic_dyn_1/R_pn;ic_dyn_1/R_ns;ic_dyn_R/C_pn;ic_dyn_R/C_ns;bc_shuff_pn;bc_shuff_ns;bc_dyn_1/C_pn;bc_dyn_1/C_ns;bc_dyn_1/R_pn;bc_dyn_1/R_ns;bc_dyn_R/C_pn;bc_dyn_R/C_ns;bb_nothing_pn;bb_nothing_ns;bb_shuff1_pn;bb_shuff1_ns;bb_shuff_pn;bb_shuff_ns;bb_st_1/C_pn;bb_st_1/C_ns;bb_dyn_1/C_pn;bb_dyn_1/C_ns;bb_st_1/R_pn;bb_st_1/R_ns;bb_dyn_1/R_pn;bb_dyn_1/R_ns;bb_st_R/C_pn;bb_st_R/C_ns;bb_dyn_R/C_pn;bb_dyn_R/C_ns;sbb_nothing_pn;sbb_nothing_ns;sbb_shuff1_pn;sbb_shuff1_ns;sbb_shuff_pn;sbb_shuff_ns;sbb_st_1/C_pn;sbb_st_1/C_ns;sbb_dyn_1/C_pn;sbb_dyn_1/C_ns;sbb_st_1/R_pn;sbb_st_1/R_ns;sbb_dyn_1/R_pn;sbb_dyn_1/R_ns;sbb_st_R/C_pn;sbb_st_R/C_ns;sbb_dyn_R/C_pn;sbb_dyn_R/C_ns;
10;2;39;0.796295844528;0.81280806111;0.928747556038;16;0.92801073862;10;0.922854028834;37;0.919854028834;35;0.933487393437;37;0.907066480695;3;0.911286223297;31;0.901632039762;31;0.930214978111;37;0.927519650439;11;0.906274192752;38;0.917154060103;33;0.929350457523;41;0.909611689872;2;0.904399888088;4;0.902312991672;5;0.898051545374;19;0.895773402785;14;0.904045110431;22;0.888509594813;18;0.907437962872;24;0.908259150456;18;0.932261001942;11;0.925666098878;13;0.917687024785;8;0.918554359633;33;0.910263659853;30;0.919323615088;33;0.903045085744;28;0.924287005036;33;0.925015824035;32;
10;5;39;0.794191530117;0.828316453928;0.701663729643;0;0.702925932771;0;0.669067937865;0;0.672330157673;0;0.668637825294;0;0.684830264426;0;0.662822606501;0;0.663058850571;0;0.662597676846;0;0.707186849756;0;0.650211997274;0;0.672525032982;0;0.648935730858;0;0.691426580179;0;0.700518476831;0;0.697794427883;0;0.664561502922;0;0.66196433693;0;0.663175225314;0;0.648887413853;0;0.654222173442;0;0.662856476132;0;0.709926626884;0;0.714384434795;0;0.702805871513;0;0.653684507431;0;0.654153654889;0;0.660763767495;0;0.646438410564;0;0.658462074003;0;0.659493137825;0;
10;10;39;0.784571902649;0.829429554947;0.673145986067;0;0.665700468687;0;0.677188155767;0;0.676905767103;0;0.674332527872;0;0.648299066273;0;0.682244723468;0;0.67540793425;0;0.67156012085;0;0.665403207864;0;0.642029081713;0;0.668103810288;0;0.645609153688;0;0.656456009653;0;0.654505267413;0;0.642140584917;0;0.676404417575;0;0.669022163864;0;0.675581543082;0;0.657768397953;0;0.67581720587;0;0.676685316896;0;0.666465258781;0;0.658115305589;0;0.644557756137;0;0.661625712757;0;0.658356481988;0;0.665466805875;0;0.655468100692;0;0.665122536504;0;0.668178851929;0;
30;2;119;0.796122928845;0.805957917382;0.960103329744;12;0.955956861476;1;0.959374269544;47;0.960485709614;49;0.960549728341;46;0.914504214583;0;0.94475288736;37;0.929662237722;24;0.962394948046;42;0.954638017291;5;0.943860184005;45;0.945556591863;31;0.95933326611;55;0.911240379533;0;0.91579013532;0;0.911623483849;0;0.909807533946;1;0.911431558547;4;0.909951997995;1;0.902415114364;6;0.915352409383;5;0.914265785391;4;0.948422218346;2;0.950166696276;5;0.946269151789;2;0.956345123944;44;0.950208857076;36;0.959562862769;46;0.939748353699;23;0.956474242793;38;0.959150819615;43;
30;5;119;0.792456883402;0.811772425898;0.704022109966;0;0.696811687854;0;0.653594593889;0;0.651812259349;0;0.650975308612;0;0.688022268576;0;0.646936708955;0;0.638720738399;0;0.649264433941;0;0.710943390122;0;0.631612630793;0;0.651668430497;0;0.631959229905;0;0.688540203517;0;0.685964769492;0;0.684234803813;0;0.6453453743;0;0.64660108035;0;0.643478695348;0;0.639620577374;0;0.646309968876;0;0.646272481562;0;0.706611659459;0;0.694296196527;0;0.699784985016;0;0.65456860818;0;0.652388935842;0;0.652040179414;0;0.645675891306;0;0.651861708367;0;0.654619351209;0;
30;10;118;0.785367124498;0.810311560535;0.591842069578;0;0.595056424746;0;0.571439063286;0;0.571038237605;0;0.570430800456;0;0.569945009324;0;0.569354452846;0;0.565992486747;0;0.565798344725;0;0.589537408309;0;0.556431443514;0;0.571410106798;0;0.556740733044;0;0.581407565004;0;0.578890168719;0;0.568968952111;0;0.573616633753;0;0.575849080915;0;0.571005510378;0;0.568820031106;0;0.575999949668;0;0.578874593724;0;0.589001247993;0;0.58213036934;0;0.574338750757;0;0.56066764257;0;0.560746847234;0;0.560474473252;0;0.55474802777;0;0.560090926075;0;0.560332147131;0;
100;2;397;0.794138808276;0.798896264554;0.97891326554;10;0.978932153976;13;0.986630811959;66;0.986217609392;75;0.98794534663;65;0.925212636878;0;0.977527455442;55;0.953039266427;27;0.991559289917;74;0.967272104107;1;0.974883683978;50;0.968579698601;40;0.991621712915;78;0.919520265631;0;0.919921550922;0;0.920231871736;0;0.925321089139;0;0.924467410844;1;0.924538934903;1;0.921466056844;1;0.92467382878;1;0.925570272748;0;0.964413694004;0;0.965094930065;1;0.960259773554;0;0.990062092738;67;0.984588983946;59;0.989588356679;72;0.978575533773;49;0.990620566074;71;0.991091598696;68;
100;5;397;0.791837881755;0.801485748967;0.717625212882;0;0.717560140057;0;0.667588300636;0;0.669084023571;0;0.671318833018;0;0.702764225477;0;0.66416867713;0;0.663924199306;0;0.668650051603;0;0.731881343053;0;0.652493966181;0;0.667585924186;0;0.652511863674;0;0.699323214646;0;0.703399097891;0;0.702485642637;0;0.663361412091;0;0.660144013858;0;0.665106240513;0;0.660563631822;0;0.659208621871;0;0.661775919679;0;0.714226100378;0;0.714756420836;0;0.713110108428;0;0.670811143128;0;0.669100114524;0;0.670414938429;0;0.669585091687;0;0.668771630683;0;0.670911099184;0;
100;10;394;0.786762163771;0.800750023888;0.556477333324;0;0.557715321356;0;0.522318900827;0;0.522625825614;0;0.522574055261;0;0.549990670527;0;0.520261865105;0;0.518091690033;0;0.520447858011;0;0.566298132254;0;0.514258291259;0;0.523094330963;0;0.514962721218;0;0.550004569476;0;0.548181206651;0;0.548849621016;0;0.523991348407;0;0.522610957769;0;0.526016406447;0;0.521635658481;0;0.527683173762;0;0.524993191242;0;0.558213598844;0;0.55571605549;0;0.553345078725;0;0.51852161605;0;0.518952722257;0;0.518388772593;0;0.516467689727;0;0.521805860106;0;0.521382272922;0;
