#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;nothing_pn;nothing_ns;shuff1_pn;shuff1_ns;1/C_pn;1/C_ns;1/R_pn;1/R_ns;R/C_pn;R/C_ns;ic_shuff_pn;ic_shuff_ns;ic_dyn_1/C_pn;ic_dyn_1/C_ns;ic_dyn_1/R_pn;ic_dyn_1/R_ns;ic_dyn_R/C_pn;ic_dyn_R/C_ns;bc_shuff_pn;bc_shuff_ns;bc_dyn_1/C_pn;bc_dyn_1/C_ns;bc_dyn_1/R_pn;bc_dyn_1/R_ns;bc_dyn_R/C_pn;bc_dyn_R/C_ns;bb_nothing_pn;bb_nothing_ns;bb_shuff1_pn;bb_shuff1_ns;bb_shuff_pn;bb_shuff_ns;bb_st_1/C_pn;bb_st_1/C_ns;bb_dyn_1/C_pn;bb_dyn_1/C_ns;bb_st_1/R_pn;bb_st_1/R_ns;bb_dyn_1/R_pn;bb_dyn_1/R_ns;bb_st_R/C_pn;bb_st_R/C_ns;bb_dyn_R/C_pn;bb_dyn_R/C_ns;sbb_nothing_pn;sbb_nothing_ns;sbb_shuff1_pn;sbb_shuff1_ns;sbb_shuff_pn;sbb_shuff_ns;sbb_st_1/C_pn;sbb_st_1/C_ns;sbb_dyn_1/C_pn;sbb_dyn_1/C_ns;sbb_st_1/R_pn;sbb_st_1/R_ns;sbb_dyn_1/R_pn;sbb_dyn_1/R_ns;sbb_st_R/C_pn;sbb_st_R/C_ns;sbb_dyn_R/C_pn;sbb_dyn_R/C_ns;
10;2;36;0.855128178033;0.876177127084;0.975635410482;31;0.975911797661;27;0.997744278498;95;0.997157405911;95;0.997217597971;95;0.959581979395;4;0.997456483269;95;0.996449296318;94;0.997258616808;94;0.968656805486;11;0.996036353661;93;0.995577182424;93;0.998214869281;97;0.959867228608;7;0.959786923626;6;0.955007547395;4;0.982898373368;66;0.988007502394;74;0.980976542411;68;0.989483890784;85;0.985205165842;71;0.983350125427;70;0.968748614573;16;0.969842261412;16;0.962988858589;8;0.990545289473;86;0.991470493044;88;0.990501206533;87;0.991421969314;86;0.991149441746;89;0.990711954923;87;
10;5;36;0.849673995362;0.896312961533;0.908946546717;0;0.914154452369;0;0.869091609377;3;0.871316236544;2;0.872100292518;5;0.898454173594;0;0.877022380886;3;0.877749002975;3;0.87846959212;6;0.914126052409;0;0.851612497105;2;0.869609147934;2;0.861404262296;4;0.896922333383;0;0.893620034989;0;0.894855105074;0;0.873127191424;0;0.873745758382;0;0.87517479386;0;0.87396540688;1;0.868090394396;0;0.862445132718;0;0.903878796573;0;0.903509250432;0;0.898985521842;0;0.867547583959;0;0.875688756872;1;0.863122678605;0;0.876223431842;1;0.866035616792;0;0.861672442552;0;
10;10;36;0.845279397566;0.905211808536;0.857120025509;0;0.857441485809;0;0.777207843023;0;0.775028383272;0;0.778084618215;0;0.846715068215;0;0.790155658774;0;0.787498542904;0;0.787429717335;0;0.868370070637;0;0.768630732074;0;0.775761881196;0;0.770097891274;0;0.842422655679;0;0.839638095576;0;0.846749917214;0;0.78720164983;0;0.793932604363;0;0.794040308777;0;0.792044515435;0;0.784340989063;0;0.781418547353;0;0.844875673453;0;0.849470861525;0;0.851740822212;0;0.770701502785;0;0.775787461734;0;0.771647386554;0;0.778988083468;0;0.769629071567;0;0.770574557566;0;
30;2;108;0.857145124019;0.868720031298;0.993665172591;48;0.994745152281;52;1.0;100;1.0;100;1.0;100;0.970977732149;1;1.0;100;1.0;100;1.0;100;0.984026462599;8;1.0;100;1.0;100;1.0;100;0.967840585361;0;0.968582267356;0;0.968148415034;0;0.995784571118;83;0.995331081738;83;0.993063559415;76;0.997497829486;91;0.994972039724;85;0.994269933165;80;0.985565270258;15;0.985708981595;10;0.977661310346;3;0.999905660377;99;1.0;100;0.999027740612;97;0.99963963964;99;0.999801980198;99;0.999709387605;98;
30;5;109;0.851228964204;0.878289516685;0.939935382417;0;0.94043203491;0;0.904375217862;5;0.903370440655;2;0.901017232193;2;0.912340086314;0;0.907346266535;4;0.904535260281;3;0.916289699677;7;0.938062647501;0;0.883044065073;3;0.89957733268;1;0.892489565076;2;0.914024225473;0;0.913032419494;0;0.915451246226;0;0.902874552796;0;0.901786076313;0;0.902193775351;0;0.904890372271;0;0.901114280719;0;0.898582864999;0;0.927917367661;0;0.925612607411;0;0.92421446463;0;0.888748702317;0;0.88683811515;0;0.889299386729;0;0.886299875033;0;0.884960295349;0;0.884889901961;0;
30;10;109;0.846036329015;0.883581471125;0.876270050039;0;0.883226315291;0;0.778851276319;0;0.777398556762;0;0.778731971669;0;0.863972978473;0;0.778968641208;0;0.780087473306;0;0.780680668286;0;0.890590840662;0;0.768226419457;0;0.779356165093;0;0.771376820106;0;0.864042411986;0;0.859142953646;0;0.864599715519;0;0.80471732421;0;0.800953017144;0;0.803628822061;0;0.801835436755;0;0.801971433148;0;0.796278852985;0;0.865712895733;0;0.868875706385;0;0.873993240429;0;0.775372417892;0;0.776530416565;0;0.776284119167;0;0.777803843965;0;0.776384047381;0;0.778548401354;0;
100;2;358;0.857446524782;0.863770378062;0.999859268512;95;0.999690292728;91;1.0;100;1.0;100;1.0;100;0.979002015491;0;1.0;100;1.0;100;1.0;100;0.992339328647;5;1.0;100;1.0;100;1.0;100;0.973651832195;0;0.973419858165;0;0.975570886098;0;0.999663889227;98;0.999886363636;99;0.999602272727;99;0.999631487466;97;0.999857954545;99;0.99974708231;98;0.997252465822;35;0.99687731655;34;0.987493073638;0;1.0;100;1.0;100;1.0;100;1.0;100;1.0;100;1.0;100;
100;5;363;0.849763693614;0.865085933326;0.963644840234;0;0.964343163556;0;0.975994192057;38;0.974503997304;40;0.975608406504;38;0.930274452498;0;0.973812314958;37;0.966771972407;28;0.980696825964;47;0.953478780282;0;0.960556113609;24;0.96031933302;17;0.973967927584;46;0.927213534904;0;0.927863693215;0;0.931136533601;0;0.939889399255;0;0.9352165453;0;0.939940269594;0;0.938901263661;0;0.940635638663;0;0.937581717478;0;0.949369622682;0;0.950089432362;0;0.944241612655;0;0.930586607837;1;0.928543742095;1;0.927682723902;1;0.928052253839;0;0.930054161529;0;0.927272295009;0;
100;10;364;0.845807289393;0.866731130061;0.898387435199;0;0.900367156931;0;0.804904037357;0;0.805842906556;0;0.807608697521;0;0.882373765503;0;0.805295363995;0;0.807091763506;0;0.807100208091;0;0.908147949993;0;0.798361047987;0;0.805872749018;0;0.800188884757;0;0.881589743646;0;0.878018070591;0;0.882553538156;0;0.832160939702;0;0.829570940896;0;0.832036614645;0;0.832588993467;0;0.832640022908;0;0.828891321805;0;0.890872972383;0;0.888812959083;0;0.893569673759;0;0.803138894832;0;0.802109433921;0;0.803747849698;0;0.802883676513;0;0.802875387443;0;0.80527001324;0;
