#bins ; #resources; Avg #items ; Avg %usage ; Avg max % usage;nothing_pn;nothing_ns;shuff1_pn;shuff1_ns;1/C_pn;1/C_ns;1/R_pn;1/R_ns;R/C_pn;R/C_ns;ic_shuff_pn;ic_shuff_ns;ic_dyn_1/C_pn;ic_dyn_1/C_ns;ic_dyn_1/R_pn;ic_dyn_1/R_ns;ic_dyn_R/C_pn;ic_dyn_R/C_ns;bc_shuff_pn;bc_shuff_ns;bc_dyn_1/C_pn;bc_dyn_1/C_ns;bc_dyn_1/R_pn;bc_dyn_1/R_ns;bc_dyn_R/C_pn;bc_dyn_R/C_ns;bb_nothing_pn;bb_nothing_ns;bb_shuff1_pn;bb_shuff1_ns;bb_shuff_pn;bb_shuff_ns;bb_st_1/C_pn;bb_st_1/C_ns;bb_dyn_1/C_pn;bb_dyn_1/C_ns;bb_st_1/R_pn;bb_st_1/R_ns;bb_dyn_1/R_pn;bb_dyn_1/R_ns;bb_st_R/C_pn;bb_st_R/C_ns;bb_dyn_R/C_pn;bb_dyn_R/C_ns;sbb_nothing_pn;sbb_nothing_ns;sbb_shuff1_pn;sbb_shuff1_ns;sbb_shuff_pn;sbb_shuff_ns;sbb_st_1/C_pn;sbb_st_1/C_ns;sbb_dyn_1/C_pn;sbb_dyn_1/C_ns;sbb_st_1/R_pn;sbb_st_1/R_ns;sbb_dyn_1/R_pn;sbb_dyn_1/R_ns;sbb_st_R/C_pn;sbb_st_R/C_ns;sbb_dyn_R/C_pn;sbb_dyn_R/C_ns;
10;2;34;0.860938526321;0.885815892424;0.949413507193;18;0.948453281159;20;0.980755764533;67;0.981498224538;68;0.978548469727;69;0.937420848136;9;0.974225982785;52;0.975840843486;50;0.950284338994;30;0.931709883289;8;0.987972593684;76;0.990264776467;80;0.978673629737;68;0.94504954912;9;0.947314212083;12;0.941291635848;7;0.972403488361;45;0.978426637665;53;0.976116214238;50;0.979919157264;58;0.960230035875;42;0.957107993149;35;0.954966584205;16;0.955986692362;14;0.949818286372;6;0.980870503303;57;0.981315422972;59;0.981064437368;58;0.980926307966;60;0.970747909087;51;0.968992481916;48;
10;5;36;0.851988967774;0.904426885034;0.836698699505;0;0.830303923975;0;0.897031521649;5;0.895652155255;6;0.881800757781;3;0.812191083261;0;0.890269092953;7;0.891513078515;3;0.866023979999;0;0.826743015202;0;0.894853193983;6;0.899135256711;9;0.874615721375;3;0.816881244114;0;0.819528529725;0;0.806976912967;0;0.868962883134;1;0.870726221976;0;0.868868766589;1;0.867557659862;0;0.848155634722;1;0.845822143227;0;0.82135911332;0;0.818196680256;0;0.819778048707;0;0.882131992779;0;0.887012140796;2;0.882163440548;1;0.883612839177;0;0.864433400039;1;0.867681458982;1;
10;10;36;0.846554148739;0.909754644568;0.76983201641;0;0.763164094424;0;0.940856638202;36;0.937254009836;32;0.933417956944;29;0.749977441546;0;0.944068401002;35;0.942251010927;32;0.929436188913;30;0.745368353353;0;0.945932215309;41;0.936468508627;33;0.932746500152;31;0.743929317345;0;0.738326085708;0;0.740362619507;0;0.914397011139;24;0.920207352739;26;0.904694328442;19;0.91100037908;22;0.898697230464;18;0.896535720588;20;0.744609159346;0;0.740993182498;0;0.734663350556;0;0.924340233355;28;0.930815190123;33;0.921174199768;28;0.924318488728;31;0.904815168754;19;0.906498672168;18;
30;2;102;0.854536165179;0.870651500012;0.963163647708;0;0.964969948396;1;0.982874235823;40;0.98327289433;40;0.989952031048;65;0.953929821617;0;0.967604709776;13;0.966021523506;6;0.950902567699;7;0.948426932928;0;0.992926358072;79;0.993699978801;73;0.990320973525;70;0.94063678849;0;0.940726538758;0;0.949430564619;0;0.967725681913;12;0.97522613174;10;0.967325156244;9;0.976930460515;15;0.941114570944;0;0.939423431933;2;0.970495168037;1;0.970674900927;0;0.964103868287;0;0.980259045864;31;0.974037619902;12;0.98078471518;30;0.97406713702;9;0.97762311459;35;0.976190555615;35;
30;5;109;0.850601037039;0.880179686129;0.864140225745;0;0.86866702646;0;0.904636384812;0;0.904025951386;0;0.895940704885;0;0.828023668122;0;0.894268402973;0;0.891755646656;0;0.876163364434;0;0.846271062037;0;0.899175682676;0;0.905908503979;0;0.89290665846;0;0.831040692648;0;0.831143021046;0;0.828459005081;0;0.870008468487;0;0.868845433487;0;0.869095286975;0;0.884382506627;0;0.852166070397;0;0.851479979013;0;0.84284934632;0;0.849930117184;0;0.837684776268;0;0.886099936087;0;0.885071056603;0;0.886694769438;0;0.896419672837;0;0.87537184552;0;0.872915546232;0;
30;10;109;0.846074393041;0.885362213084;0.747292934716;0;0.740346249744;0;0.855748532165;0;0.854021392507;0;0.853415380805;0;0.713703243445;0;0.856785460811;0;0.852584343933;0;0.845022309485;0;0.728381969367;0;0.855436184298;0;0.858289515427;0;0.851876784325;0;0.722181280027;0;0.724327262472;0;0.721935647397;0;0.823708970175;0;0.825012545224;0;0.824719399056;0;0.826345536775;0;0.815409698489;0;0.812610282785;0;0.722667353067;0;0.721016783552;0;0.713077498986;0;0.833730383925;0;0.832156342698;0;0.83064175017;0;0.826482101548;0;0.828414245596;0;0.824004800913;0;
100;2;342;0.856600002326;0.865649282106;0.981928201018;1;0.981296146441;0;0.987868454576;50;0.987449534144;47;0.999830026965;98;0.962027771433;0;0.968100914564;5;0.966230263659;0;0.978576236414;22;0.95731863413;0;0.999856722104;97;0.999854424422;98;0.999484332635;97;0.934421501274;0;0.93374617834;0;0.958368056675;0;0.969815201986;0;0.981326319946;5;0.969685762636;1;0.980450586307;0;0.93637812501;0;0.933587219247;0;0.981102113987;1;0.978833583232;0;0.981213602032;0;0.988990235847;42;0.981916782189;11;0.9885023137;42;0.976825922015;0;0.998086149082;88;0.997099019186;82;
100;5;363;0.851206927932;0.869250936654;0.904699428336;0;0.904251459678;0;0.940141480534;0;0.93926412763;0;0.92857848522;0;0.859637384356;0;0.92615677321;0;0.933570793509;0;0.898671443628;0;0.876295474291;0;0.9358395258;0;0.940179328855;0;0.928002329081;0;0.857604553677;0;0.85638047823;0;0.856780166777;0;0.887309601783;0;0.892326905968;0;0.888345095786;0;0.896902918266;0;0.874612886301;0;0.871273311352;0;0.881327337101;0;0.87988734013;0;0.87044972583;0;0.918820005534;0;0.920850684235;0;0.916695033769;0;0.927895504401;0;0.903981622292;0;0.903775691767;0;
100;10;364;0.847118549493;0.868766057698;0.761860048403;0;0.762606259102;0;0.809840558654;0;0.810288463634;0;0.805061431903;0;0.730780726549;0;0.800710258582;0;0.800431758624;0;0.792343653009;0;0.743600435983;0;0.808505649711;0;0.81097329486;0;0.803049051354;0;0.73096914557;0;0.731042506605;0;0.727107762047;0;0.782815719919;0;0.782345579869;0;0.782841287355;0;0.789020185056;0;0.7747202854;0;0.77213239599;0;0.735046141742;0;0.735320091496;0;0.729391406853;0;0.791857496191;0;0.793242616998;0;0.793262097083;0;0.795343395583;0;0.786995586343;0;0.786227910275;0;
